Area	County	ZIP Codes	ZIP Count
Appleton	Outagamie	54911, 54913, 54914	3
Baraboo	Sauk	53913, 50000	2
Beaver Dam	Dodge	53916, 50001	2
Beloit	Rock	53511, 53512	2
Brookfield	Waukesha	53005, 53045	2
Burlington	Racine	53105, 50002	2
Cedarburg	Ozaukee	53012, 50003	2
De Pere	Brown	54115, 50004	2
Delafield	Waukesha	53018	1
Eau Claire	Eau Claire	54701, 54702, 54703	3
Elkhorn	Walworth	53121	1
Elm Grove	Waukesha	53122	1
Fitchburg	Dane	53711, 53713	2
Fond du Lac	Fond du Lac	54935, 54937	2
Fort Atkinson	Jefferson	53538	1
Franklin	Milwaukee	53132	1
Germantown	Washington	53022	1
Grafton	Ozaukee	53024	1
Green Bay	Brown	54301, 54302, 54303, 54304, 54305, 54306, 54307	7
Greendale	Milwaukee	53129	1
Greenfield	Milwaukee	53220, 53228	2
Hudson	St. Croix	54016	1
Janesville	Rock	53545, 53546, 53547	3
Kaukauna	Outagamie	54130	1
Kenosha	Kenosha	53140, 53141, 53142, 53143	4
La Crosse	La Crosse	54601, 54602, 54603	3
Lake Geneva	Walworth	53147	1
Madison	Dane	53701, 53702, 53703, 53704, 53705, 53706, 53707, 53708, 53714, 53715, 53716, 53717, 53718, 53719	14
Manitowoc	Manitowoc	54220, 54221	2
Marshfield	Wood	54449	1
Menasha	Winnebago	54952	1
Menomonee Falls	Waukesha	53051, 53052	2
Mequon	Ozaukee	53092, 53097	2
Middleton	Dane	53562	1
Milwaukee	Milwaukee	53201, 53202, 53203, 53204, 53205, 53206, 53207, 53208, 53209, 53210, 53211, 53212, 53213, 53214, 53215, 53216, 53217, 53218, 53219, 53221, 53222, 53223, 53224, 53225, 53226, 53227	26
Mount Pleasant	Racine	53406	1
Muskego	Waukesha	53150	1
Neenah	Winnebago	54956	1
New Berlin	Waukesha	53146, 53151	2
Oak Creek	Milwaukee	53154	1
Oconomowoc	Waukesha	53066	1
Onalaska	La Crosse	54650	1
Oshkosh	Winnebago	54901, 54902, 54904	3
Pewaukee	Waukesha	53072	1
Pleasant Prairie	Kenosha	53158	1
Plover	Portage	54467	1
Racine	Racine	53401, 53402, 53403, 53404, 53405	5
River Falls	St. Croix	54022	1
Sheboygan	Sheboygan	53081, 53082, 53083	3
Stevens Point	Portage	54481, 54482	2
Stoughton	Dane	53589	1
Sun Prairie	Dane	53590	1
Verona	Dane	53593	1
Watertown	Jefferson	53094, 53098	2
Waukesha	Waukesha	53186, 53187, 53188	3
Wauwatosa	Milwaukee	53213, 53222, 53226	3
West Allis	Milwaukee	53214, 53219, 53227	3
West Bend	Washington	53090, 53095	2
Wisconsin Rapids	Wood	54494, 54495	2
